animeID,studio
421,Studio Fantasia
422,Studio Fantasia
424,Sunrise
425,Nippon Animation
426,Madhouse
427,Gonzo
427,Production I.G
428,Gonzo
429,Gonzo
430,Bones
431,Studio Ghibli
432,Ashi Production
433,CoMix Wave Films
434,AIC
435,Tokyo Movie Shinsha
437,Madhouse
438,Arcs Create
439,animate Film
440,J.C.Staff
441,J.C.Staff
442,Studio Pierrot
443,Daume
444,Studio Deen
445,Production I.G
445,Xebec
446,ufotable
447,Plum
447,Magic Bus
448,Madhouse
449,Sunrise
450,Sunrise
451,Sunrise
452,Kyoto Animation
452,Sunrise
454,Bee Train
455,Nippon Animation
456,J.C.Staff
457,Artland
458,OLM
459,Toei Animation
460,Toei Animation
461,Toei Animation
462,Toei Animation
463,Toei Animation
464,Toei Animation
465,Toei Animation
466,Production I.G
467,Production I.G
468,Production I.G
469,J.C.Staff
470,Madhouse
471,OLM
472,OLM
473,Telecom Animation Film
474,Triangle Staff
475,Sunrise
476,Karaku
478,Satelight
478,Production Reed
479,Studio Deen
481,Studio Gallop
482,Studio Gallop
483,Bones
484,Studio Pierrot
485,Magic Bus
486,A.C.G.T.
487,AIC Spirits
489,"""Brains Base"""
490,Shaft
495,Xebec
496,Madhouse
497,Studio Deen
498,AIC
499,Madhouse
502,Toei Animation
505,Hal Film Maker
506,Eiken
507,Plum
508,TMS Entertainment
509,TNK
510,Arms
512,Studio Ghibli
512,Studio Hibari
513,Studio Ghibli
514,Daume
515,Triangle Staff
516,Sunrise
517,Studio Comet
518,Production Reed
519,J.C.Staff
522,Madhouse
523,Studio Ghibli
524,Daume
525,Production I.G
526,Production I.G
527,OLM
528,OLM
529,Gonzo
530,Toei Animation
531,Toei Animation
532,Toei Animation
533,J.C.Staff
534,E&G Films
535,E&G Films
536,J.C.Staff
537,Studio Deen
538,AIC
539,AIC
540,AIC
541,AIC
543,Madhouse
544,Triangle Staff
545,TNK
546,Radix
550,Toei Animation
551,Group TAC
552,Toei Animation
553,J.C.Staff
554,OLM
554,Production Reed
555,OLM
556,OLM
557,OLM
558,Studio Hibari
559,Bones
560,Production I.G
560,Xebec
561,Madhouse
563,Madhouse
563,Studio Deen
564,J.C.Staff
565,Studio 4°C
565,Sunrise
566,Madhouse
567,Sunrise
568,AIC
569,Tatsunoko Production
570,Production I.G
572,Studio Hibari
572,Topcraft
573,Studio Junio
574,Sunrise
576,Tokyo Kids
577,Trinet Entertainment
577,Picture Magic
579,AIC
580,Studio Pierrot
581,Studio Fantasia
582,Magic Bus
584,Satelight
585,Studio Ghibli
586,Toei Animation
587,Group TAC
588,TNK
589,Toei Animation
590,Group TAC
591,Studio Deen
592,TMS Entertainment
593,Sunrise
595,Madhouse
596,Madhouse
597,Studio Ghibli
598,Radix
599,Madhouse
600,Radix
600,Marine Entertainment
601,J.C.Staff
602,Gainax
603,Toei Animation
604,Studio Pierrot
605,Studio Pierrot
606,Madhouse
607,Madhouse
608,Production I.G
612,Xebec
613,Sunrise
614,J.C.Staff
615,Kyoto Animation
615,Tatsunoko Production
616,Studio Gallop
617,Madhouse
618,Madhouse
620,TMS Entertainment
621,AIC
624,Studio Deen
624,Studio Hibari
624,Production Reed
627,Studio Hibari
629,Production Reed
630,Madhouse
630,Production Reed
631,Gainax
631,Shaft
632,Gainax
632,Shaft
634,A.C.G.T.
635,Madhouse
636,Madhouse
637,J.C.Staff
641,Madhouse
642,Madhouse
644,J.C.Staff
645,Studio Pierrot
646,Studio Deen
647,Zexcs
649,Daume
650,OLM
652,Madhouse
653,Madhouse
655,Madhouse
655,feel.
656,Kyoto Animation
658,Madhouse
659,J.C.Staff
660,Toei Animation
664,Bones
665,APPP
666,APPP
667,Studio Hibari
668,Studio Flag
669,Palm Studio
670,Trinet Entertainment
670,Picture Magic
673,Sunrise
676,Pink Pineapple
677,Sunrise
678,Studio Deen
679,Zero-G Room
